run_number,production_date,prod_line,species,product_type,shift_code,status,giveaway_check,giveaway_pct,reject_count
003963,2026-01-14 00:00:00.000000,Line 3,cod,fillet,LATE,complete,WARNING: giveaway > 3%,578.2,3.0
003966,2026-01-14 00:00:00.000000,Line 1,hake,fillet,LATE,complete,WARNING: giveaway > 3%,680.3,1.0
003964,2026-01-14 00:00:00.000000,Smoke Line,mackerel,fillet,NIGHT,complete,WARNING: giveaway > 3%,278.7,3.0
003961,2026-01-14 00:00:00.000000,VA Line,prawn,,DAY,complete,WARNING: giveaway > 3%,629.8,2.0
003962,2026-01-14 00:00:00.000000,VA Line,,,DAY,complete,WARNING: giveaway > 3%,988.9,3.0
003971,2026-01-14 00:00:00.000000,VA Line,cod,breaded,NIGHT,complete,WARNING: giveaway > 3%,246.0,1.0
003965,2026-01-14 00:00:00.000000,Smoke Line,haddock,smoked,NIGHT,complete,WARNING: giveaway > 3%,682.6,2.0
003967,2026-01-14 00:00:00.000000,Line 1,sole,fillet,LATE,complete,WARNING: giveaway > 3%,606.3,3.0
003958,2026-01-15 00:00:00.000000,Line 2,tuna,steak,NIGHT,complete,WARNING: giveaway > 3%,574.2,0.0
003954,2026-01-15 00:00:00.000000,Line 2,tuna,steak,LATE,complete,WARNING: giveaway > 3%,401.0,0.0
003957,2026-01-15 00:00:00.000000,Line 1,sole,fillet,NIGHT,complete,WARNING: giveaway > 3%,264.7,3.0
003953,2026-01-15 00:00:00.000000,Line 3,pollock,fillet,NIGHT,complete,WARNING: giveaway > 3%,703.3,1.0
003955,2026-01-15 00:00:00.000000,Line 1,hake,fillet,LATE,complete,WARNING: giveaway > 3%,571.2,3.0
003960,2026-01-15 00:00:00.000000,Line 2,cod,loin,LATE,complete,WARNING: giveaway > 3%,488.6,0.0
003959,2026-01-15 00:00:00.000000,VA Line,prawn,,NIGHT,complete,WARNING: giveaway > 3%,365.4,2.0
003956,2026-01-15 00:00:00.000000,Line 3,pollock,fillet,DAY,complete,WARNING: giveaway > 3%,430.9,0.0
003948,2026-01-16 00:00:00.000000,VA Line,,,LATE,complete,WARNING: giveaway > 3%,1279.2,3.0
003945,2026-01-16 00:00:00.000000,VA Line,,,NIGHT,complete,WARNING: giveaway > 3%,867.9,1.0
003949,2026-01-16 00:00:00.000000,Smoke Line,mackerel,fillet,DAY,complete,WARNING: giveaway > 3%,802.8,1.0
003950,2026-01-16 00:00:00.000000,Line 1,hake,fillet,DAY,complete,WARNING: giveaway > 3%,756.1,0.0
003946,2026-01-16 00:00:00.000000,Line 1,salmon,portion,LATE,complete,WARNING: giveaway > 3%,476.4,2.0
003947,2026-01-16 00:00:00.000000,VA Line,,,DAY,complete,WARNING: giveaway > 3%,1113.9,0.0
003952,2026-01-16 00:00:00.000000,Smoke Line,mackerel,fillet,NIGHT,complete,WARNING: giveaway > 3%,590.3,2.0
003951,2026-01-16 00:00:00.000000,Line 3,plaice,fillet,LATE,complete,WARNING: giveaway > 3%,638.2,2.0
003942,2026-01-17 00:00:00.000000,Line 1,salmon,,DAY,complete,WARNING: giveaway > 3%,196.8,3.0
003943,2026-01-17 00:00:00.000000,Line 2,tuna,steak,LATE,complete,WARNING: giveaway > 3%,161.8,1.0
003939,2026-01-17 00:00:00.000000,VA Line,cod,breaded,DAY,complete,WARNING: giveaway > 3%,627.9,2.0
003941,2026-01-17 00:00:00.000000,VA Line,,,LATE,complete,WARNING: giveaway > 3%,513.7,0.0
003940,2026-01-17 00:00:00.000000,Smoke Line,mackerel,fillet,DAY,complete,WARNING: giveaway > 3%,312.4,1.0
003944,2026-01-17 00:00:00.000000,Line 3,plaice,fillet,LATE,complete,WARNING: giveaway > 3%,820.3,0.0
003936,2026-01-18 00:00:00.000000,VA Line,prawn,,DAY,complete,WARNING: giveaway > 3%,121.7,3.0
003931,2026-01-18 00:00:00.000000,Line 3,cod,fillet,NIGHT,complete,WARNING: giveaway > 3%,826.8,1.0
003935,2026-01-18 00:00:00.000000,Line 3,pollock,fillet,DAY,complete,WARNING: giveaway > 3%,350.4,0.0
003932,2026-01-18 00:00:00.000000,Line 3,pollock,fillet,NIGHT,complete,WARNING: giveaway > 3%,258.8,3.0
003933,2026-01-18 00:00:00.000000,VA Line,prawn,,NIGHT,complete,WARNING: giveaway > 3%,226.7,2.0
003937,2026-01-18 00:00:00.000000,VA Line,,,NIGHT,complete,WARNING: giveaway > 3%,433.4,1.0
003934,2026-01-18 00:00:00.000000,Line 2,cod,loin,LATE,complete,WARNING: giveaway > 3%,622.4,1.0
003929,2026-01-18 00:00:00.000000,Line 2,seabass,fillet,NIGHT,complete,WARNING: giveaway > 3%,673.1,3.0
003928,2026-01-18 00:00:00.000000,VA Line,,,NIGHT,complete,WARNING: giveaway > 3%,310.0,0.0
003930,2026-01-18 00:00:00.000000,Line 2,cod,loin,DAY,complete,WARNING: giveaway > 3%,748.5,1.0
003938,2026-01-18 00:00:00.000000,Line 2,tuna,steak,DAY,complete,WARNING: giveaway > 3%,1193.9,2.0
003918,2026-01-19 00:00:00.000000,Line 2,tuna,steak,DAY,complete,WARNING: giveaway > 3%,883.8,0.0
003926,2026-01-19 00:00:00.000000,Line 2,cod,loin,NIGHT,complete,WARNING: giveaway > 3%,817.8,0.0
003917,2026-01-19 00:00:00.000000,VA Line,prawn,,DAY,complete,WARNING: giveaway > 3%,508.2,3.0
003920,2026-01-19 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,183.0,2.0
003919,2026-01-19 00:00:00.000000,Line 2,tuna,steak,DAY,complete,WARNING: giveaway > 3%,331.7,0.0
003925,2026-01-19 00:00:00.000000,Smoke Line,haddock,smoked,DAY,complete,WARNING: giveaway > 3%,269.1,2.0
003924,2026-01-19 00:00:00.000000,Line 2,seabass,fillet,DAY,complete,WARNING: giveaway > 3%,769.3,1.0
003922,2026-01-19 00:00:00.000000,VA Line,cod,breaded,NIGHT,complete,WARNING: giveaway > 3%,156.4,0.0
003927,2026-01-19 00:00:00.000000,Line 2,cod,loin,LATE,complete,WARNING: giveaway > 3%,534.6,0.0
003923,2026-01-19 00:00:00.000000,Line 2,cod,loin,LATE,complete,WARNING: giveaway > 3%,279.0,1.0
003921,2026-01-19 00:00:00.000000,VA Line,,,DAY,complete,WARNING: giveaway > 3%,136.7,0.0
003910,2026-01-20 00:00:00.000000,Smoke Line,mackerel,fillet,DAY,complete,WARNING: giveaway > 3%,323.9,2.0
003914,2026-01-20 00:00:00.000000,Smoke Line,haddock,smoked,NIGHT,complete,WARNING: giveaway > 3%,371.4,3.0
003911,2026-01-20 00:00:00.000000,VA Line,cod,breaded,NIGHT,complete,WARNING: giveaway > 3%,1492.0,3.0
003915,2026-01-20 00:00:00.000000,Line 2,seabass,fillet,NIGHT,complete,WARNING: giveaway > 3%,745.1,3.0
003913,2026-01-20 00:00:00.000000,Line 1,salmon,,LATE,complete,WARNING: giveaway > 3%,1278.8,3.0
003912,2026-01-20 00:00:00.000000,Smoke Line,mackerel,fillet,NIGHT,complete,WARNING: giveaway > 3%,251.9,0.0
003916,2026-01-20 00:00:00.000000,Line 2,tuna,steak,NIGHT,complete,WARNING: giveaway > 3%,276.5,2.0
003907,2026-01-21 00:00:00.000000,Line 2,tuna,steak,LATE,complete,WARNING: giveaway > 3%,987.1,0.0
003909,2026-01-21 00:00:00.000000,Smoke Line,haddock,smoked,DAY,complete,WARNING: giveaway > 3%,500.0,1.0
003899,2026-01-21 00:00:00.000000,Line 1,sole,fillet,NIGHT,complete,WARNING: giveaway > 3%,695.5,3.0
003906,2026-01-21 00:00:00.000000,Line 3,plaice,fillet,NIGHT,complete,WARNING: giveaway > 3%,311.4,2.0
003903,2026-01-21 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,488.2,0.0
003905,2026-01-21 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,692.7,0.0
003902,2026-01-21 00:00:00.000000,Smoke Line,mackerel,fillet,NIGHT,complete,WARNING: giveaway > 3%,200.2,1.0
003901,2026-01-21 00:00:00.000000,Line 1,salmon,portion,NIGHT,complete,WARNING: giveaway > 3%,770.1,1.0
003908,2026-01-21 00:00:00.000000,Line 1,salmon,portion,DAY,complete,WARNING: giveaway > 3%,623.6,3.0
003904,2026-01-21 00:00:00.000000,Smoke Line,haddock,smoked,DAY,complete,WARNING: giveaway > 3%,264.4,3.0
003900,2026-01-21 00:00:00.000000,Line 1,hake,fillet,NIGHT,complete,WARNING: giveaway > 3%,265.1,1.0
003898,2026-01-22 00:00:00.000000,Line 2,tuna,steak,LATE,complete,WARNING: giveaway > 3%,130.2,3.0
003896,2026-01-22 00:00:00.000000,Line 3,plaice,fillet,DAY,complete,WARNING: giveaway > 3%,611.7,2.0
003894,2026-01-22 00:00:00.000000,Line 3,plaice,fillet,LATE,complete,WARNING: giveaway > 3%,630.5,0.0
003897,2026-01-22 00:00:00.000000,Line 2,seabass,fillet,NIGHT,complete,WARNING: giveaway > 3%,364.2,1.0
003895,2026-01-22 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,787.3,1.0
003888,2026-01-23 00:00:00.000000,VA Line,prawn,,LATE,complete,WARNING: giveaway > 3%,342.9,0.0
003891,2026-01-23 00:00:00.000000,Smoke Line,haddock,smoked,DAY,complete,WARNING: giveaway > 3%,1193.5,2.0
003893,2026-01-23 00:00:00.000000,Line 3,cod,fillet,LATE,complete,WARNING: giveaway > 3%,318.7,3.0
003890,2026-01-23 00:00:00.000000,Line 2,seabass,fillet,LATE,complete,WARNING: giveaway > 3%,551.6,3.0
003887,2026-01-23 00:00:00.000000,Smoke Line,mackerel,fillet,DAY,complete,WARNING: giveaway > 3%,672.1,0.0
003889,2026-01-23 00:00:00.000000,Line 3,cod,fillet,NIGHT,complete,WARNING: giveaway > 3%,444.0,3.0
003892,2026-01-23 00:00:00.000000,Line 2,seabass,fillet,LATE,complete,WARNING: giveaway > 3%,1175.0,1.0
003877,2026-01-24 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,519.7,1.0
003886,2026-01-24 00:00:00.000000,Line 2,tuna,steak,DAY,complete,WARNING: giveaway > 3%,170.8,1.0
003876,2026-01-24 00:00:00.000000,Smoke Line,mackerel,fillet,NIGHT,complete,WARNING: giveaway > 3%,758.4,1.0
003882,2026-01-24 00:00:00.000000,Smoke Line,mackerel,fillet,LATE,complete,WARNING: giveaway > 3%,319.7,2.0
003884,2026-01-24 00:00:00.000000,Smoke Line,mackerel,fillet,DAY,complete,WARNING: giveaway > 3%,748.4,0.0
003878,2026-01-24 00:00:00.000000,Line 2,seabass,fillet,DAY,complete,WARNING: giveaway > 3%,1204.9,0.0
003879,2026-01-24 00:00:00.000000,Line 2,tuna,steak,DAY,complete,WARNING: giveaway > 3%,639.8,2.0
003880,2026-01-24 00:00:00.000000,Line 3,pollock,fillet,NIGHT,complete,WARNING: giveaway > 3%,397.5,3.0
003883,2026-01-24 00:00:00.000000,Line 1,hake,fillet,DAY,complete,WARNING: giveaway > 3%,153.2,0.0
003885,2026-01-24 00:00:00.000000,VA Line,cod,breaded,NIGHT,complete,WARNING: giveaway > 3%,349.3,0.0
003881,2026-01-24 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,453.4,2.0
003866,2026-01-25 00:00:00.000000,Line 1,sole,fillet,LATE,complete,WARNING: giveaway > 3%,735.0,3.0
003869,2026-01-25 00:00:00.000000,Line 1,salmon,portion,LATE,complete,WARNING: giveaway > 3%,892.9,0.0
003872,2026-01-25 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,509.6,1.0
003870,2026-01-25 00:00:00.000000,Line 1,hake,fillet,NIGHT,complete,WARNING: giveaway > 3%,962.2,3.0
003874,2026-01-25 00:00:00.000000,VA Line,,,LATE,complete,WARNING: giveaway > 3%,150.8,2.0
003875,2026-01-25 00:00:00.000000,VA Line,prawn,,DAY,complete,WARNING: giveaway > 3%,179.4,0.0
003871,2026-01-25 00:00:00.000000,Line 3,pollock,fillet,LATE,complete,WARNING: giveaway > 3%,1632.9,1.0
003868,2026-01-25 00:00:00.000000,VA Line,cod,breaded,LATE,complete,WARNING: giveaway > 3%,970.5,0.0
003873,2026-01-25 00:00:00.000000,Line 3,plaice,fillet,NIGHT,complete,WARNING: giveaway > 3%,826.3,1.0
003867,2026-01-25 00:00:00.000000,VA Line,prawn,,NIGHT,complete,WARNING: giveaway > 3%,714.1,0.0
003862,2026-01-26 00:00:00.000000,Line 1,salmon,portion,DAY,complete,WARNING: giveaway > 3%,216.8,3.0
003865,2026-01-26 00:00:00.000000,Smoke Line,mackerel,fillet,NIGHT,complete,WARNING: giveaway > 3%,409.4,3.0
003864,2026-01-26 00:00:00.000000,VA Line,cod,breaded,DAY,complete,WARNING: giveaway > 3%,701.3,1.0
003860,2026-01-26 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,88.0,3.0
003863,2026-01-26 00:00:00.000000,Line 1,hake,fillet,LATE,complete,WARNING: giveaway > 3%,472.2,0.0
003861,2026-01-26 00:00:00.000000,Line 3,plaice,fillet,NIGHT,complete,WARNING: giveaway > 3%,860.6,3.0
003859,2026-01-26 00:00:00.000000,Smoke Line,haddock,smoked,LATE,complete,WARNING: giveaway > 3%,500.1,1.0
003855,2026-01-27 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,1092.4,1.0
003858,2026-01-27 00:00:00.000000,Smoke Line,mackerel,fillet,NIGHT,complete,WARNING: giveaway > 3%,579.7,2.0
003856,2026-01-27 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,1117.8,1.0
003851,2026-01-27 00:00:00.000000,VA Line,cod,breaded,NIGHT,complete,WARNING: giveaway > 3%,799.7,0.0
003857,2026-01-27 00:00:00.000000,Smoke Line,haddock,smoked,DAY,complete,WARNING: giveaway > 3%,878.1,3.0
003854,2026-01-27 00:00:00.000000,Line 2,cod,loin,DAY,complete,WARNING: giveaway > 3%,398.5,1.0
003852,2026-01-27 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,181.8,0.0
003853,2026-01-27 00:00:00.000000,Smoke Line,haddock,smoked,LATE,complete,WARNING: giveaway > 3%,169.3,2.0
003847,2026-01-28 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,1680.3,3.0
003843,2026-01-28 00:00:00.000000,Smoke Line,mackerel,fillet,LATE,complete,WARNING: giveaway > 3%,970.7,3.0
003842,2026-01-28 00:00:00.000000,Line 1,salmon,portion,DAY,complete,WARNING: giveaway > 3%,477.7,3.0
003844,2026-01-28 00:00:00.000000,Line 2,seabass,fillet,DAY,complete,WARNING: giveaway > 3%,359.4,2.0
003840,2026-01-28 00:00:00.000000,VA Line,,,DAY,complete,WARNING: giveaway > 3%,1444.6,1.0
003845,2026-01-28 00:00:00.000000,VA Line,cod,breaded,LATE,complete,WARNING: giveaway > 3%,626.7,1.0
003841,2026-01-28 00:00:00.000000,Line 2,seabass,fillet,DAY,complete,WARNING: giveaway > 3%,618.5,2.0
003849,2026-01-28 00:00:00.000000,Line 3,pollock,fillet,LATE,complete,WARNING: giveaway > 3%,186.5,0.0
003850,2026-01-28 00:00:00.000000,Line 1,sole,fillet,NIGHT,complete,WARNING: giveaway > 3%,881.9,2.0
003848,2026-01-28 00:00:00.000000,Line 3,pollock,fillet,DAY,complete,WARNING: giveaway > 3%,1456.4,2.0
003846,2026-01-28 00:00:00.000000,Line 3,plaice,fillet,DAY,complete,WARNING: giveaway > 3%,918.8,1.0
003837,2026-01-29 00:00:00.000000,Line 2,tuna,steak,NIGHT,complete,WARNING: giveaway > 3%,1241.1,3.0
003836,2026-01-29 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,1024.5,1.0
003834,2026-01-29 00:00:00.000000,Line 3,plaice,fillet,DAY,complete,WARNING: giveaway > 3%,483.3,0.0
003838,2026-01-29 00:00:00.000000,Smoke Line,haddock,smoked,LATE,complete,WARNING: giveaway > 3%,995.8,3.0
003835,2026-01-29 00:00:00.000000,Line 3,plaice,fillet,LATE,complete,WARNING: giveaway > 3%,712.6,1.0
003839,2026-01-29 00:00:00.000000,Line 2,tuna,steak,NIGHT,complete,WARNING: giveaway > 3%,674.0,2.0
003833,2026-01-29 00:00:00.000000,VA Line,,,LATE,complete,WARNING: giveaway > 3%,1581.9,2.0
003824,2026-01-30 00:00:00.000000,Line 3,plaice,fillet,NIGHT,complete,WARNING: giveaway > 3%,522.9,0.0
003825,2026-01-30 00:00:00.000000,Line 1,salmon,portion,NIGHT,complete,WARNING: giveaway > 3%,735.4,0.0
003830,2026-01-30 00:00:00.000000,Line 1,salmon,,DAY,complete,WARNING: giveaway > 3%,132.7,1.0
003827,2026-01-30 00:00:00.000000,Line 1,salmon,portion,DAY,complete,WARNING: giveaway > 3%,676.8,1.0
003826,2026-01-30 00:00:00.000000,Smoke Line,haddock,smoked,LATE,complete,WARNING: giveaway > 3%,442.1,2.0
003832,2026-01-30 00:00:00.000000,Line 2,cod,loin,DAY,complete,WARNING: giveaway > 3%,421.9,1.0
003829,2026-01-30 00:00:00.000000,VA Line,cod,breaded,NIGHT,complete,WARNING: giveaway > 3%,1268.1,1.0
003831,2026-01-30 00:00:00.000000,Line 1,hake,fillet,LATE,complete,WARNING: giveaway > 3%,837.0,2.0
003823,2026-01-30 00:00:00.000000,Line 2,seabass,fillet,DAY,complete,WARNING: giveaway > 3%,374.9,1.0
003828,2026-01-30 00:00:00.000000,VA Line,prawn,,DAY,complete,WARNING: giveaway > 3%,1731.8,1.0
003819,2026-01-31 00:00:00.000000,Line 1,hake,fillet,NIGHT,complete,WARNING: giveaway > 3%,991.3,0.0
003822,2026-01-31 00:00:00.000000,Line 3,cod,fillet,LATE,complete,WARNING: giveaway > 3%,743.1,1.0
003820,2026-01-31 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,117.7,2.0
003821,2026-01-31 00:00:00.000000,Line 2,seabass,fillet,LATE,complete,WARNING: giveaway > 3%,851.9,2.0
003818,2026-01-31 00:00:00.000000,Line 1,sole,fillet,LATE,complete,WARNING: giveaway > 3%,613.0,1.0
003811,2026-02-01 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,839.3,1.0
003812,2026-02-01 00:00:00.000000,VA Line,prawn,,LATE,complete,WARNING: giveaway > 3%,462.2,0.0
003813,2026-02-01 00:00:00.000000,Line 2,cod,loin,DAY,complete,WARNING: giveaway > 3%,410.2,1.0
003815,2026-02-01 00:00:00.000000,Line 3,pollock,fillet,LATE,complete,WARNING: giveaway > 3%,278.6,0.0
003810,2026-02-01 00:00:00.000000,Line 1,hake,fillet,NIGHT,complete,WARNING: giveaway > 3%,1419.6,2.0
003816,2026-02-01 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,499.1,0.0
003808,2026-02-01 00:00:00.000000,Smoke Line,mackerel,fillet,DAY,complete,WARNING: giveaway > 3%,406.1,1.0
003817,2026-02-01 00:00:00.000000,Line 2,seabass,fillet,DAY,complete,WARNING: giveaway > 3%,530.5,2.0
003814,2026-02-01 00:00:00.000000,Line 3,pollock,fillet,LATE,complete,WARNING: giveaway > 3%,1679.6,0.0
003809,2026-02-01 00:00:00.000000,Line 1,salmon,,DAY,complete,WARNING: giveaway > 3%,737.8,3.0
003800,2026-02-02 00:00:00.000000,Line 2,seabass,fillet,LATE,complete,WARNING: giveaway > 3%,143.5,2.0
003798,2026-02-02 00:00:00.000000,Smoke Line,mackerel,fillet,LATE,complete,WARNING: giveaway > 3%,1506.4,1.0
003797,2026-02-02 00:00:00.000000,VA Line,,,DAY,complete,WARNING: giveaway > 3%,422.9,1.0
003799,2026-02-02 00:00:00.000000,Line 1,salmon,portion,NIGHT,complete,WARNING: giveaway > 3%,969.5,2.0
003805,2026-02-02 00:00:00.000000,Line 3,cod,fillet,LATE,complete,WARNING: giveaway > 3%,401.3,2.0
003801,2026-02-02 00:00:00.000000,Smoke Line,haddock,smoked,NIGHT,complete,WARNING: giveaway > 3%,635.6,0.0
003807,2026-02-02 00:00:00.000000,Line 1,salmon,portion,DAY,complete,WARNING: giveaway > 3%,1225.3,0.0
003796,2026-02-02 00:00:00.000000,Line 1,hake,fillet,LATE,complete,WARNING: giveaway > 3%,1105.8,1.0
003804,2026-02-02 00:00:00.000000,Line 1,salmon,portion,NIGHT,complete,WARNING: giveaway > 3%,384.4,3.0
003803,2026-02-02 00:00:00.000000,Smoke Line,haddock,smoked,LATE,complete,WARNING: giveaway > 3%,602.3,0.0
003806,2026-02-02 00:00:00.000000,VA Line,prawn,,DAY,complete,WARNING: giveaway > 3%,1442.5,1.0
003802,2026-02-02 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,1698.5,3.0
003793,2026-02-03 00:00:00.000000,Line 1,hake,fillet,DAY,complete,WARNING: giveaway > 3%,323.8,2.0
003794,2026-02-03 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,538.6,1.0
003791,2026-02-03 00:00:00.000000,Line 2,tuna,steak,NIGHT,complete,WARNING: giveaway > 3%,635.5,0.0
003795,2026-02-03 00:00:00.000000,Line 3,cod,fillet,LATE,complete,WARNING: giveaway > 3%,106.9,0.0
003792,2026-02-03 00:00:00.000000,Smoke Line,haddock,smoked,NIGHT,complete,WARNING: giveaway > 3%,801.6,0.0
003787,2026-02-04 00:00:00.000000,Smoke Line,haddock,smoked,DAY,complete,WARNING: giveaway > 3%,811.7,0.0
003789,2026-02-04 00:00:00.000000,VA Line,prawn,,LATE,complete,WARNING: giveaway > 3%,677.6,3.0
003785,2026-02-04 00:00:00.000000,Line 3,plaice,fillet,NIGHT,complete,WARNING: giveaway > 3%,591.8,2.0
003788,2026-02-04 00:00:00.000000,VA Line,,,LATE,complete,WARNING: giveaway > 3%,440.9,0.0
003786,2026-02-04 00:00:00.000000,Line 1,sole,fillet,NIGHT,complete,WARNING: giveaway > 3%,691.4,2.0
003784,2026-02-04 00:00:00.000000,Line 2,seabass,fillet,LATE,complete,WARNING: giveaway > 3%,733.9,2.0
003790,2026-02-04 00:00:00.000000,VA Line,prawn,,NIGHT,complete,WARNING: giveaway > 3%,405.6,3.0
003783,2026-02-04 00:00:00.000000,Line 2,seabass,fillet,NIGHT,complete,WARNING: giveaway > 3%,696.9,3.0
003782,2026-02-05 00:00:00.000000,Line 2,cod,loin,NIGHT,complete,WARNING: giveaway > 3%,885.6,3.0
003781,2026-02-05 00:00:00.000000,Line 2,cod,loin,LATE,complete,WARNING: giveaway > 3%,978.0,0.0
003773,2026-02-05 00:00:00.000000,Line 2,cod,loin,LATE,complete,WARNING: giveaway > 3%,735.6,0.0
003775,2026-02-05 00:00:00.000000,VA Line,,,DAY,complete,WARNING: giveaway > 3%,784.9,3.0
003777,2026-02-05 00:00:00.000000,VA Line,,,LATE,complete,WARNING: giveaway > 3%,326.8,1.0
003780,2026-02-05 00:00:00.000000,VA Line,,,DAY,complete,WARNING: giveaway > 3%,1184.3,2.0
003779,2026-02-05 00:00:00.000000,VA Line,prawn,,DAY,complete,WARNING: giveaway > 3%,391.0,0.0
003774,2026-02-05 00:00:00.000000,Line 1,salmon,,LATE,complete,WARNING: giveaway > 3%,377.5,1.0
003778,2026-02-05 00:00:00.000000,Line 3,plaice,fillet,NIGHT,complete,WARNING: giveaway > 3%,153.9,1.0
003776,2026-02-05 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,384.3,0.0
003772,2026-02-06 00:00:00.000000,Line 3,pollock,fillet,NIGHT,complete,WARNING: giveaway > 3%,368.6,3.0
003766,2026-02-06 00:00:00.000000,Smoke Line,mackerel,fillet,NIGHT,complete,WARNING: giveaway > 3%,572.0,0.0
003769,2026-02-06 00:00:00.000000,Line 3,plaice,fillet,NIGHT,complete,WARNING: giveaway > 3%,650.6,2.0
003765,2026-02-06 00:00:00.000000,Line 2,tuna,steak,LATE,complete,WARNING: giveaway > 3%,1094.8,0.0
003767,2026-02-06 00:00:00.000000,Line 3,cod,fillet,DAY,complete,WARNING: giveaway > 3%,214.7,1.0
003770,2026-02-06 00:00:00.000000,VA Line,cod,breaded,NIGHT,complete,WARNING: giveaway > 3%,126.1,0.0
003764,2026-02-06 00:00:00.000000,Line 3,pollock,fillet,DAY,complete,WARNING: giveaway > 3%,674.0,1.0
003771,2026-02-06 00:00:00.000000,Line 3,cod,fillet,LATE,complete,WARNING: giveaway > 3%,917.7,0.0
003768,2026-02-06 00:00:00.000000,Line 1,hake,fillet,LATE,complete,WARNING: giveaway > 3%,1549.7,0.0
003758,2026-02-07 00:00:00.000000,Smoke Line,mackerel,fillet,DAY,complete,WARNING: giveaway > 3%,419.2,0.0
003760,2026-02-07 00:00:00.000000,Line 1,sole,fillet,DAY,complete,WARNING: giveaway > 3%,1021.4,3.0
