production_date,shift_code,prod_line,species,product_type,run_count,complete
2026-01-19 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-01-19 00:00:00.000000,DAY,Line 2,seabass,fillet,1,1
2026-01-19 00:00:00.000000,DAY,Line 2,tuna,steak,2,1
2026-01-19 00:00:00.000000,DAY,Smoke Line,haddock,smoked,1,1
2026-01-19 00:00:00.000000,DAY,VA Line,,,1,1
2026-01-19 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-01-19 00:00:00.000000,LATE,Line 2,cod,loin,2,1
2026-01-19 00:00:00.000000,NIGHT,Line 2,cod,loin,1,1
2026-01-19 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-01-20 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-01-20 00:00:00.000000,LATE,Line 1,salmon,,1,1
2026-01-20 00:00:00.000000,NIGHT,Line 2,seabass,fillet,1,1
2026-01-20 00:00:00.000000,NIGHT,Line 2,tuna,steak,1,1
2026-01-20 00:00:00.000000,NIGHT,Smoke Line,haddock,smoked,1,1
2026-01-20 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-01-20 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-01-21 00:00:00.000000,DAY,Line 1,salmon,portion,1,1
2026-01-21 00:00:00.000000,DAY,Line 3,cod,fillet,2,1
2026-01-21 00:00:00.000000,DAY,Smoke Line,haddock,smoked,2,1
2026-01-21 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-01-21 00:00:00.000000,NIGHT,Line 1,hake,fillet,1,1
2026-01-21 00:00:00.000000,NIGHT,Line 1,salmon,portion,1,1
2026-01-21 00:00:00.000000,NIGHT,Line 1,sole,fillet,1,1
2026-01-21 00:00:00.000000,NIGHT,Line 3,plaice,fillet,1,1
2026-01-21 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-01-22 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-01-22 00:00:00.000000,DAY,Line 3,plaice,fillet,1,1
2026-01-22 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-01-22 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-01-22 00:00:00.000000,NIGHT,Line 2,seabass,fillet,1,1
2026-01-23 00:00:00.000000,DAY,Smoke Line,haddock,smoked,1,1
2026-01-23 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-01-23 00:00:00.000000,LATE,Line 2,seabass,fillet,2,1
2026-01-23 00:00:00.000000,LATE,Line 3,cod,fillet,1,1
2026-01-23 00:00:00.000000,LATE,VA Line,prawn,,1,1
2026-01-23 00:00:00.000000,NIGHT,Line 3,cod,fillet,1,1
2026-01-24 00:00:00.000000,DAY,Line 1,hake,fillet,1,1
2026-01-24 00:00:00.000000,DAY,Line 1,sole,fillet,2,1
2026-01-24 00:00:00.000000,DAY,Line 2,seabass,fillet,1,1
2026-01-24 00:00:00.000000,DAY,Line 2,tuna,steak,2,1
2026-01-24 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-01-24 00:00:00.000000,LATE,Smoke Line,mackerel,fillet,1,1
2026-01-24 00:00:00.000000,NIGHT,Line 3,pollock,fillet,1,1
2026-01-24 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-01-24 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-01-25 00:00:00.000000,DAY,Line 3,cod,fillet,1,1
2026-01-25 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-01-25 00:00:00.000000,LATE,Line 1,salmon,portion,1,1
2026-01-25 00:00:00.000000,LATE,Line 1,sole,fillet,1,1
2026-01-25 00:00:00.000000,LATE,Line 3,pollock,fillet,1,1
2026-01-25 00:00:00.000000,LATE,VA Line,,,1,1
2026-01-25 00:00:00.000000,LATE,VA Line,cod,breaded,1,1
2026-01-25 00:00:00.000000,NIGHT,Line 1,hake,fillet,1,1
2026-01-25 00:00:00.000000,NIGHT,Line 3,plaice,fillet,1,1
2026-01-25 00:00:00.000000,NIGHT,VA Line,prawn,,1,1
2026-01-26 00:00:00.000000,DAY,Line 1,salmon,portion,1,1
2026-01-26 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-01-26 00:00:00.000000,DAY,VA Line,cod,breaded,1,1
2026-01-26 00:00:00.000000,LATE,Line 1,hake,fillet,1,1
2026-01-26 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-01-26 00:00:00.000000,NIGHT,Line 3,plaice,fillet,1,1
2026-01-26 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-01-27 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-01-27 00:00:00.000000,DAY,Line 2,cod,loin,1,1
2026-01-27 00:00:00.000000,DAY,Line 3,cod,fillet,2,1
2026-01-27 00:00:00.000000,DAY,Smoke Line,haddock,smoked,1,1
2026-01-27 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-01-27 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-01-27 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-01-28 00:00:00.000000,DAY,Line 1,salmon,portion,1,1
2026-01-28 00:00:00.000000,DAY,Line 2,seabass,fillet,2,1
2026-01-28 00:00:00.000000,DAY,Line 3,cod,fillet,1,1
2026-01-28 00:00:00.000000,DAY,Line 3,plaice,fillet,1,1
2026-01-28 00:00:00.000000,DAY,Line 3,pollock,fillet,1,1
2026-01-28 00:00:00.000000,DAY,VA Line,,,1,1
2026-01-28 00:00:00.000000,LATE,Line 3,pollock,fillet,1,1
2026-01-28 00:00:00.000000,LATE,Smoke Line,mackerel,fillet,1,1
2026-01-28 00:00:00.000000,LATE,VA Line,cod,breaded,1,1
2026-01-28 00:00:00.000000,NIGHT,Line 1,sole,fillet,1,1
2026-01-29 00:00:00.000000,DAY,Line 3,cod,fillet,1,1
2026-01-29 00:00:00.000000,DAY,Line 3,plaice,fillet,1,1
2026-01-29 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-01-29 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-01-29 00:00:00.000000,LATE,VA Line,,,1,1
2026-01-29 00:00:00.000000,NIGHT,Line 2,tuna,steak,2,1
2026-01-30 00:00:00.000000,DAY,Line 1,salmon,,1,1
2026-01-30 00:00:00.000000,DAY,Line 1,salmon,portion,1,1
2026-01-30 00:00:00.000000,DAY,Line 2,cod,loin,1,1
2026-01-30 00:00:00.000000,DAY,Line 2,seabass,fillet,1,1
2026-01-30 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-01-30 00:00:00.000000,LATE,Line 1,hake,fillet,1,1
2026-01-30 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-01-30 00:00:00.000000,NIGHT,Line 1,salmon,portion,1,1
2026-01-30 00:00:00.000000,NIGHT,Line 3,plaice,fillet,1,1
2026-01-30 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-01-31 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-01-31 00:00:00.000000,LATE,Line 1,sole,fillet,1,1
2026-01-31 00:00:00.000000,LATE,Line 2,seabass,fillet,1,1
2026-01-31 00:00:00.000000,LATE,Line 3,cod,fillet,1,1
2026-01-31 00:00:00.000000,NIGHT,Line 1,hake,fillet,1,1
2026-02-01 00:00:00.000000,DAY,Line 1,salmon,,1,1
2026-02-01 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-02-01 00:00:00.000000,DAY,Line 2,cod,loin,1,1
2026-02-01 00:00:00.000000,DAY,Line 2,seabass,fillet,1,1
2026-02-01 00:00:00.000000,DAY,Line 3,cod,fillet,1,1
2026-02-01 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-02-01 00:00:00.000000,LATE,Line 3,pollock,fillet,2,1
2026-02-01 00:00:00.000000,LATE,VA Line,prawn,,1,1
2026-02-01 00:00:00.000000,NIGHT,Line 1,hake,fillet,1,1
2026-02-02 00:00:00.000000,DAY,Line 1,salmon,portion,1,1
2026-02-02 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-02-02 00:00:00.000000,DAY,VA Line,,,1,1
2026-02-02 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-02-02 00:00:00.000000,LATE,Line 1,hake,fillet,1,1
2026-02-02 00:00:00.000000,LATE,Line 2,seabass,fillet,1,1
2026-02-02 00:00:00.000000,LATE,Line 3,cod,fillet,1,1
2026-02-02 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-02-02 00:00:00.000000,LATE,Smoke Line,mackerel,fillet,1,1
2026-02-02 00:00:00.000000,NIGHT,Line 1,salmon,portion,2,1
2026-02-02 00:00:00.000000,NIGHT,Smoke Line,haddock,smoked,1,1
2026-02-03 00:00:00.000000,DAY,Line 1,hake,fillet,1,1
2026-02-03 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-02-03 00:00:00.000000,LATE,Line 3,cod,fillet,1,1
2026-02-03 00:00:00.000000,NIGHT,Line 2,tuna,steak,1,1
2026-02-03 00:00:00.000000,NIGHT,Smoke Line,haddock,smoked,1,1
2026-02-04 00:00:00.000000,DAY,Smoke Line,haddock,smoked,1,1
2026-02-04 00:00:00.000000,LATE,Line 2,seabass,fillet,1,1
2026-02-04 00:00:00.000000,LATE,VA Line,,,1,1
2026-02-04 00:00:00.000000,LATE,VA Line,prawn,,1,1
2026-02-04 00:00:00.000000,NIGHT,Line 1,sole,fillet,1,1
2026-02-04 00:00:00.000000,NIGHT,Line 2,seabass,fillet,1,1
2026-02-04 00:00:00.000000,NIGHT,Line 3,plaice,fillet,1,1
2026-02-04 00:00:00.000000,NIGHT,VA Line,prawn,,1,1
2026-02-05 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-02-05 00:00:00.000000,DAY,VA Line,,,2,1
2026-02-05 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-02-05 00:00:00.000000,LATE,Line 1,salmon,,1,1
2026-02-05 00:00:00.000000,LATE,Line 2,cod,loin,2,1
2026-02-05 00:00:00.000000,LATE,VA Line,,,1,1
2026-02-05 00:00:00.000000,NIGHT,Line 2,cod,loin,1,1
2026-02-05 00:00:00.000000,NIGHT,Line 3,plaice,fillet,1,1
2026-02-06 00:00:00.000000,DAY,Line 3,cod,fillet,1,1
2026-02-06 00:00:00.000000,DAY,Line 3,pollock,fillet,1,1
2026-02-06 00:00:00.000000,LATE,Line 1,hake,fillet,1,1
2026-02-06 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-02-06 00:00:00.000000,LATE,Line 3,cod,fillet,1,1
2026-02-06 00:00:00.000000,NIGHT,Line 3,plaice,fillet,1,1
2026-02-06 00:00:00.000000,NIGHT,Line 3,pollock,fillet,1,1
2026-02-06 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-02-06 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-02-07 00:00:00.000000,DAY,Line 1,salmon,portion,1,1
2026-02-07 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-02-07 00:00:00.000000,DAY,Line 2,seabass,fillet,2,1
2026-02-07 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-02-07 00:00:00.000000,LATE,Line 2,cod,loin,1,1
2026-02-07 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-02-07 00:00:00.000000,LATE,Line 3,pollock,fillet,1,1
2026-02-08 00:00:00.000000,DAY,Line 2,tuna,steak,1,1
2026-02-08 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-02-08 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-02-08 00:00:00.000000,LATE,VA Line,,,1,1
2026-02-08 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-02-09 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-02-09 00:00:00.000000,DAY,VA Line,,,1,1
2026-02-09 00:00:00.000000,DAY,VA Line,cod,breaded,1,1
2026-02-09 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-02-09 00:00:00.000000,LATE,VA Line,prawn,,1,1
2026-02-10 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-02-10 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-02-10 00:00:00.000000,LATE,VA Line,cod,breaded,1,1
2026-02-10 00:00:00.000000,NIGHT,VA Line,,,1,1
2026-02-10 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-02-11 00:00:00.000000,LATE,Line 1,salmon,,1,1
2026-02-11 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-02-11 00:00:00.000000,NIGHT,Line 1,hake,fillet,1,1
2026-02-11 00:00:00.000000,NIGHT,Line 1,salmon,,1,1
2026-02-11 00:00:00.000000,NIGHT,Line 1,salmon,portion,1,1
2026-02-12 00:00:00.000000,DAY,Line 2,cod,loin,1,1
2026-02-12 00:00:00.000000,DAY,Line 3,plaice,fillet,1,1
2026-02-12 00:00:00.000000,LATE,Line 1,hake,fillet,1,1
2026-02-12 00:00:00.000000,LATE,Line 1,salmon,,1,1
2026-02-12 00:00:00.000000,LATE,Line 1,salmon,portion,1,1
2026-02-12 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-02-12 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-02-12 00:00:00.000000,LATE,VA Line,prawn,,1,1
2026-02-12 00:00:00.000000,NIGHT,Line 1,hake,fillet,2,1
2026-02-12 00:00:00.000000,NIGHT,Line 3,plaice,fillet,1,1
2026-02-12 00:00:00.000000,NIGHT,VA Line,prawn,,1,1
2026-02-13 00:00:00.000000,DAY,Line 2,tuna,steak,1,1
2026-02-13 00:00:00.000000,LATE,Line 1,sole,fillet,1,1
2026-02-13 00:00:00.000000,LATE,Line 2,cod,loin,1,1
2026-02-13 00:00:00.000000,LATE,Line 2,seabass,fillet,1,1
2026-02-13 00:00:00.000000,LATE,Line 3,pollock,fillet,1,1
2026-02-13 00:00:00.000000,LATE,VA Line,cod,breaded,2,1
2026-02-13 00:00:00.000000,LATE,VA Line,prawn,,1,1
2026-02-13 00:00:00.000000,NIGHT,Line 1,salmon,,1,1
2026-02-13 00:00:00.000000,NIGHT,Line 3,cod,fillet,1,1
2026-02-13 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-02-14 00:00:00.000000,DAY,Line 1,hake,fillet,1,1
2026-02-14 00:00:00.000000,LATE,Line 1,salmon,,1,1
2026-02-14 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-02-14 00:00:00.000000,NIGHT,Line 1,salmon,,1,1
2026-02-14 00:00:00.000000,NIGHT,Line 2,cod,loin,1,1
2026-02-14 00:00:00.000000,NIGHT,Line 2,seabass,fillet,1,1
2026-02-14 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-02-15 00:00:00.000000,DAY,Line 1,hake,fillet,1,1
2026-02-15 00:00:00.000000,DAY,Line 2,tuna,steak,2,1
2026-02-15 00:00:00.000000,DAY,VA Line,,,1,1
2026-02-15 00:00:00.000000,LATE,VA Line,cod,breaded,1,1
2026-02-15 00:00:00.000000,NIGHT,Line 1,hake,fillet,1,1
2026-02-15 00:00:00.000000,NIGHT,Line 1,sole,fillet,1,1
2026-02-15 00:00:00.000000,NIGHT,Line 2,seabass,fillet,1,1
2026-02-15 00:00:00.000000,NIGHT,VA Line,prawn,,1,1
2026-02-16 00:00:00.000000,DAY,Line 2,seabass,fillet,1,1
2026-02-16 00:00:00.000000,DAY,Line 2,tuna,steak,2,1
2026-02-16 00:00:00.000000,DAY,VA Line,,,2,1
2026-02-16 00:00:00.000000,LATE,Line 2,seabass,fillet,1,1
2026-02-16 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-02-16 00:00:00.000000,NIGHT,Line 3,pollock,fillet,2,1
2026-02-17 00:00:00.000000,DAY,Line 1,sole,fillet,1,1
2026-02-17 00:00:00.000000,DAY,Line 3,cod,fillet,1,1
2026-02-17 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-02-17 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-02-17 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-02-18 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-02-18 00:00:00.000000,LATE,Line 1,sole,fillet,1,1
2026-02-18 00:00:00.000000,LATE,Line 2,seabass,fillet,1,1
2026-02-18 00:00:00.000000,LATE,Smoke Line,mackerel,fillet,1,1
2026-02-18 00:00:00.000000,NIGHT,Line 1,hake,fillet,1,1
2026-02-18 00:00:00.000000,NIGHT,Line 1,salmon,,1,1
2026-02-19 00:00:00.000000,DAY,Line 1,hake,fillet,1,1
2026-02-19 00:00:00.000000,DAY,Line 2,seabass,fillet,1,1
2026-02-19 00:00:00.000000,DAY,Line 3,pollock,fillet,1,1
2026-02-19 00:00:00.000000,DAY,Smoke Line,haddock,smoked,1,1
2026-02-19 00:00:00.000000,LATE,Line 1,hake,fillet,1,1
2026-02-19 00:00:00.000000,LATE,Line 1,sole,fillet,1,1
2026-02-19 00:00:00.000000,LATE,Line 2,seabass,fillet,1,1
2026-02-19 00:00:00.000000,LATE,Smoke Line,haddock,smoked,2,1
2026-02-19 00:00:00.000000,NIGHT,Line 1,sole,fillet,1,1
2026-02-19 00:00:00.000000,NIGHT,Smoke Line,haddock,smoked,1,1
2026-02-19 00:00:00.000000,NIGHT,VA Line,,,1,1
2026-02-20 00:00:00.000000,DAY,Line 1,hake,fillet,2,1
2026-02-20 00:00:00.000000,DAY,Smoke Line,haddock,smoked,1,1
2026-02-20 00:00:00.000000,DAY,VA Line,,,1,1
2026-02-20 00:00:00.000000,NIGHT,Line 1,sole,fillet,1,1
2026-02-21 00:00:00.000000,DAY,Line 1,hake,fillet,1,1
2026-02-21 00:00:00.000000,DAY,Line 2,seabass,fillet,1,1
2026-02-21 00:00:00.000000,LATE,Line 2,seabass,fillet,1,1
2026-02-21 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-02-21 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-02-21 00:00:00.000000,LATE,Smoke Line,mackerel,fillet,1,1
2026-02-21 00:00:00.000000,NIGHT,Line 2,tuna,steak,1,1
2026-02-21 00:00:00.000000,NIGHT,Smoke Line,mackerel,fillet,1,1
2026-02-21 00:00:00.000000,NIGHT,VA Line,,,1,1
2026-02-22 00:00:00.000000,DAY,Line 1,hake,fillet,1,1
2026-02-22 00:00:00.000000,DAY,Line 1,salmon,,1,1
2026-02-22 00:00:00.000000,DAY,Line 3,plaice,fillet,1,1
2026-02-22 00:00:00.000000,DAY,VA Line,,,1,1
2026-02-22 00:00:00.000000,LATE,Line 1,salmon,,1,1
2026-02-22 00:00:00.000000,LATE,Line 2,cod,loin,1,1
2026-02-22 00:00:00.000000,NIGHT,Line 1,hake,fillet,1,1
2026-02-22 00:00:00.000000,NIGHT,Line 3,cod,fillet,1,1
2026-02-22 00:00:00.000000,NIGHT,Line 3,pollock,fillet,1,1
2026-02-22 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-02-23 00:00:00.000000,DAY,VA Line,,,1,1
2026-02-23 00:00:00.000000,DAY,VA Line,prawn,,1,1
2026-02-23 00:00:00.000000,LATE,Line 1,salmon,portion,2,1
2026-02-23 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-02-23 00:00:00.000000,LATE,Line 3,pollock,fillet,1,1
2026-02-23 00:00:00.000000,NIGHT,Line 2,seabass,fillet,1,1
2026-02-24 00:00:00.000000,DAY,Line 3,plaice,fillet,1,1
2026-02-24 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,2,1
2026-02-24 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-02-24 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-02-24 00:00:00.000000,LATE,Smoke Line,mackerel,fillet,1,1
2026-02-24 00:00:00.000000,NIGHT,Line 2,seabass,fillet,1,1
2026-02-24 00:00:00.000000,NIGHT,VA Line,,,1,1
2026-02-25 00:00:00.000000,DAY,Line 1,salmon,portion,1,1
2026-02-25 00:00:00.000000,DAY,Line 3,cod,fillet,2,1
2026-02-25 00:00:00.000000,DAY,Line 3,pollock,fillet,1,1
2026-02-25 00:00:00.000000,DAY,Smoke Line,haddock,smoked,1,1
2026-02-25 00:00:00.000000,LATE,Line 1,sole,fillet,1,1
2026-02-25 00:00:00.000000,NIGHT,Line 1,salmon,portion,2,1
2026-02-26 00:00:00.000000,DAY,Line 1,salmon,portion,1,1
2026-02-26 00:00:00.000000,LATE,Line 2,tuna,steak,1,1
2026-02-26 00:00:00.000000,LATE,Line 3,pollock,fillet,1,1
2026-02-26 00:00:00.000000,LATE,Smoke Line,haddock,smoked,1,1
2026-02-26 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-02-27 00:00:00.000000,DAY,Smoke Line,haddock,smoked,2,1
2026-02-27 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-02-27 00:00:00.000000,DAY,VA Line,cod,breaded,1,1
2026-02-27 00:00:00.000000,LATE,Smoke Line,mackerel,fillet,1,1
2026-02-27 00:00:00.000000,NIGHT,Line 1,salmon,,1,1
2026-02-27 00:00:00.000000,NIGHT,Line 1,salmon,portion,1,1
2026-02-27 00:00:00.000000,NIGHT,Line 1,sole,fillet,1,1
2026-02-27 00:00:00.000000,NIGHT,Line 2,seabass,fillet,1,1
2026-02-27 00:00:00.000000,NIGHT,VA Line,cod,breaded,1,1
2026-02-28 00:00:00.000000,DAY,Line 3,cod,fillet,1,1
2026-02-28 00:00:00.000000,DAY,Line 3,plaice,fillet,1,1
2026-02-28 00:00:00.000000,DAY,VA Line,,,1,1
2026-02-28 00:00:00.000000,DAY,VA Line,prawn,,2,1
2026-02-28 00:00:00.000000,LATE,Line 3,plaice,fillet,1,1
2026-02-28 00:00:00.000000,LATE,VA Line,cod,breaded,1,1
2026-03-01 00:00:00.000000,DAY,Line 2,seabass,fillet,1,1
2026-03-01 00:00:00.000000,DAY,Line 2,tuna,steak,1,1
2026-03-01 00:00:00.000000,DAY,Line 3,pollock,fillet,1,1
2026-03-01 00:00:00.000000,DAY,VA Line,,,1,1
2026-03-01 00:00:00.000000,LATE,Line 1,sole,fillet,1,1
2026-03-01 00:00:00.000000,LATE,VA Line,,,1,1
2026-03-01 00:00:00.000000,LATE,VA Line,cod,breaded,1,1
2026-03-01 00:00:00.000000,LATE,VA Line,prawn,,1,1
2026-03-01 00:00:00.000000,NIGHT,Line 2,tuna,steak,1,1
2026-03-01 00:00:00.000000,NIGHT,Line 3,plaice,fillet,1,1
2026-03-02 00:00:00.000000,DAY,Smoke Line,mackerel,fillet,1,1
2026-03-02 00:00:00.000000,DAY,VA Line,,,1,1
2026-03-02 00:00:00.000000,DAY,VA Line,cod,breaded,1,1
2026-03-02 00:00:00.000000,LATE,Line 1,salmon,,1,1
2026-03-02 00:00:00.000000,LATE,Line 1,salmon,portion,1,1
2026-03-02 00:00:00.000000,LATE,Smoke Line,mackerel,fillet,1,1
