production_date,shift_code,prod_line,runs,total_packs,total_weight_kg,avg_giveaway_pct,total_downtime_mins
2026-01-18 00:00:00.000000,NIGHT,Line 2,1,22.0,4.3,673.1,6.0
2026-01-18 00:00:00.000000,NIGHT,Line 3,2,52.0,10.4,542.8,28.0
2026-01-18 00:00:00.000000,NIGHT,VA Line,3,71.0,13.8,323.37,36.0
2026-01-19 00:00:00.000000,DAY,Line 1,1,30.0,6.1,183.0,9.0
2026-01-19 00:00:00.000000,DAY,Line 2,3,55.0,10.7,661.6,33.0
2026-01-19 00:00:00.000000,DAY,Smoke Line,1,26.0,5.4,269.1,7.0
2026-01-19 00:00:00.000000,DAY,VA Line,2,42.0,8.3,322.45,18.0
2026-01-19 00:00:00.000000,LATE,Line 2,2,44.0,8.8,406.8,18.0
2026-01-19 00:00:00.000000,NIGHT,Line 2,1,10.0,2.1,817.8,16.0
2026-01-19 00:00:00.000000,NIGHT,VA Line,1,23.0,4.4,156.4,20.0
2026-01-20 00:00:00.000000,DAY,Smoke Line,1,23.0,4.6,323.9,12.0
2026-01-20 00:00:00.000000,LATE,Line 1,1,15.0,2.9,1278.8,11.0
2026-01-20 00:00:00.000000,NIGHT,Line 2,2,43.0,8.8,510.8,21.0
2026-01-20 00:00:00.000000,NIGHT,Smoke Line,2,27.0,5.3,311.65,15.0
2026-01-20 00:00:00.000000,NIGHT,VA Line,1,12.0,2.3,1492.0,8.0
2026-01-21 00:00:00.000000,DAY,Line 1,1,30.0,6.1,623.6,0.0
2026-01-21 00:00:00.000000,DAY,Line 3,2,35.0,7.1,590.45,7.0
2026-01-21 00:00:00.000000,DAY,Smoke Line,2,44.0,9.0,382.2,18.0
2026-01-21 00:00:00.000000,LATE,Line 2,1,18.0,3.8,987.1,0.0
2026-01-21 00:00:00.000000,NIGHT,Line 1,3,64.0,12.5,576.9,28.0
2026-01-21 00:00:00.000000,NIGHT,Line 3,1,16.0,3.3,311.4,11.0
2026-01-21 00:00:00.000000,NIGHT,Smoke Line,1,18.0,3.6,200.2,13.0
2026-01-22 00:00:00.000000,DAY,Line 1,1,18.0,3.5,787.3,20.0
2026-01-22 00:00:00.000000,DAY,Line 3,1,23.0,4.6,611.7,12.0
2026-01-22 00:00:00.000000,LATE,Line 2,1,21.0,4.2,130.2,9.0
2026-01-22 00:00:00.000000,LATE,Line 3,1,26.0,5.4,630.5,10.0
2026-01-22 00:00:00.000000,NIGHT,Line 2,1,24.0,4.9,364.2,7.0
2026-01-23 00:00:00.000000,DAY,Smoke Line,2,28.0,5.5,932.8,27.0
2026-01-23 00:00:00.000000,LATE,Line 2,2,45.0,9.2,863.3,22.0
2026-01-23 00:00:00.000000,LATE,Line 3,1,26.0,5.1,318.7,11.0
2026-01-23 00:00:00.000000,LATE,VA Line,1,26.0,5.5,342.9,12.0
2026-01-23 00:00:00.000000,NIGHT,Line 3,1,14.0,2.8,444.0,14.0
2026-01-24 00:00:00.000000,DAY,Line 1,3,73.0,14.5,375.43,27.0
2026-01-24 00:00:00.000000,DAY,Line 2,3,68.0,13.6,671.83,18.0
2026-01-24 00:00:00.000000,DAY,Smoke Line,1,24.0,4.8,748.4,6.0
2026-01-24 00:00:00.000000,LATE,Smoke Line,1,10.0,2.1,319.7,14.0
2026-01-24 00:00:00.000000,NIGHT,Line 3,1,21.0,4.0,397.5,11.0
2026-01-24 00:00:00.000000,NIGHT,Smoke Line,1,24.0,4.6,758.4,17.0
2026-01-24 00:00:00.000000,NIGHT,VA Line,1,30.0,6.3,349.3,9.0
2026-01-25 00:00:00.000000,DAY,Line 3,1,22.0,4.4,509.6,14.0
2026-01-25 00:00:00.000000,DAY,VA Line,1,26.0,5.0,179.4,18.0
2026-01-25 00:00:00.000000,LATE,Line 1,2,37.0,7.2,813.95,31.0
2026-01-25 00:00:00.000000,LATE,Line 3,1,11.0,2.2,1632.9,16.0
2026-01-25 00:00:00.000000,LATE,VA Line,2,38.0,7.5,560.65,32.0
2026-01-25 00:00:00.000000,NIGHT,Line 1,1,10.0,2.1,962.2,19.0
2026-01-25 00:00:00.000000,NIGHT,Line 3,1,12.0,2.5,826.3,19.0
2026-01-25 00:00:00.000000,NIGHT,VA Line,1,18.0,3.7,714.1,13.0
2026-01-26 00:00:00.000000,DAY,Line 1,2,46.0,9.4,152.4,19.0
2026-01-26 00:00:00.000000,DAY,VA Line,1,12.0,2.3,701.3,1.0
2026-01-26 00:00:00.000000,LATE,Line 1,1,14.0,2.9,472.2,5.0
2026-01-26 00:00:00.000000,LATE,Smoke Line,1,15.0,3.1,500.1,18.0
2026-01-26 00:00:00.000000,NIGHT,Line 3,1,20.0,4.2,860.6,4.0
2026-01-26 00:00:00.000000,NIGHT,Smoke Line,1,16.0,3.2,409.4,11.0
2026-01-27 00:00:00.000000,DAY,Line 1,1,11.0,2.3,1092.4,2.0
2026-01-27 00:00:00.000000,DAY,Line 2,1,29.0,5.8,398.5,3.0
2026-01-27 00:00:00.000000,DAY,Line 3,2,41.0,8.3,649.8,40.0
2026-01-27 00:00:00.000000,DAY,Smoke Line,1,11.0,2.1,878.1,0.0
2026-01-27 00:00:00.000000,LATE,Smoke Line,1,22.0,4.4,169.3,3.0
2026-01-27 00:00:00.000000,NIGHT,Smoke Line,1,21.0,4.2,579.7,8.0
2026-01-27 00:00:00.000000,NIGHT,VA Line,1,22.0,4.4,799.7,14.0
2026-01-28 00:00:00.000000,DAY,Line 1,1,15.0,3.0,477.7,0.0
2026-01-28 00:00:00.000000,DAY,Line 2,2,41.0,8.4,488.95,27.0
2026-01-28 00:00:00.000000,DAY,Line 3,3,35.0,7.2,1351.83,39.0
2026-01-28 00:00:00.000000,DAY,VA Line,1,12.0,2.5,1444.6,20.0
2026-01-28 00:00:00.000000,LATE,Line 3,1,15.0,2.9,186.5,1.0
2026-01-28 00:00:00.000000,LATE,Smoke Line,1,12.0,2.5,970.7,6.0
2026-01-28 00:00:00.000000,LATE,VA Line,1,29.0,5.9,626.7,7.0
2026-01-28 00:00:00.000000,NIGHT,Line 1,1,19.0,3.9,881.9,18.0
2026-01-29 00:00:00.000000,DAY,Line 3,2,33.0,6.7,753.9,16.0
2026-01-29 00:00:00.000000,LATE,Line 3,1,26.0,5.0,712.6,18.0
2026-01-29 00:00:00.000000,LATE,Smoke Line,1,19.0,3.7,995.8,5.0
2026-01-29 00:00:00.000000,LATE,VA Line,1,10.0,1.9,1581.9,10.0
2026-01-29 00:00:00.000000,NIGHT,Line 2,2,43.0,8.4,957.55,34.0
2026-01-30 00:00:00.000000,DAY,Line 1,2,46.0,9.3,404.75,24.0
2026-01-30 00:00:00.000000,DAY,Line 2,2,51.0,10.0,398.4,10.0
2026-01-30 00:00:00.000000,DAY,VA Line,1,10.0,1.9,1731.8,9.0
2026-01-30 00:00:00.000000,LATE,Line 1,1,22.0,4.4,837.0,9.0
2026-01-30 00:00:00.000000,LATE,Smoke Line,1,18.0,3.6,442.1,14.0
2026-01-30 00:00:00.000000,NIGHT,Line 1,1,18.0,3.7,735.4,11.0
2026-01-30 00:00:00.000000,NIGHT,Line 3,1,29.0,5.7,522.9,19.0
2026-01-30 00:00:00.000000,NIGHT,VA Line,1,14.0,2.8,1268.1,2.0
2026-01-31 00:00:00.000000,DAY,Line 1,1,30.0,5.8,117.7,11.0
2026-01-31 00:00:00.000000,LATE,Line 1,1,29.0,5.9,613.0,17.0
2026-01-31 00:00:00.000000,LATE,Line 2,1,20.0,4.1,851.9,4.0
2026-01-31 00:00:00.000000,LATE,Line 3,1,26.0,5.1,743.1,12.0
2026-01-31 00:00:00.000000,NIGHT,Line 1,1,21.0,4.0,991.3,5.0
2026-02-01 00:00:00.000000,DAY,Line 1,2,38.0,7.5,788.55,4.0
2026-02-01 00:00:00.000000,DAY,Line 2,2,48.0,9.3,470.35,21.0
2026-02-01 00:00:00.000000,DAY,Line 3,1,14.0,2.8,499.1,20.0
2026-02-01 00:00:00.000000,DAY,Smoke Line,1,24.0,4.6,406.1,19.0
2026-02-01 00:00:00.000000,LATE,Line 3,2,32.0,6.4,979.1,21.0
2026-02-01 00:00:00.000000,LATE,VA Line,1,21.0,4.1,462.2,0.0
2026-02-01 00:00:00.000000,NIGHT,Line 1,1,12.0,2.4,1419.6,10.0
2026-02-02 00:00:00.000000,DAY,Line 1,2,26.0,5.1,1461.9,20.0
2026-02-02 00:00:00.000000,DAY,VA Line,2,34.0,6.8,932.7,9.0
2026-02-02 00:00:00.000000,LATE,Line 1,1,15.0,3.0,1105.8,12.0
2026-02-02 00:00:00.000000,LATE,Line 2,1,27.0,5.2,143.5,15.0
2026-02-02 00:00:00.000000,LATE,Line 3,1,26.0,5.4,401.3,12.0
2026-02-02 00:00:00.000000,LATE,Smoke Line,2,37.0,7.7,1054.35,25.0
2026-02-02 00:00:00.000000,NIGHT,Line 1,2,46.0,9.5,676.95,32.0
2026-02-02 00:00:00.000000,NIGHT,Smoke Line,1,18.0,3.5,635.6,11.0
2026-02-03 00:00:00.000000,DAY,Line 1,2,54.0,11.3,431.2,30.0
2026-02-03 00:00:00.000000,LATE,Line 3,1,24.0,4.9,106.9,10.0
2026-02-03 00:00:00.000000,NIGHT,Line 2,1,26.0,5.4,635.5,4.0
2026-02-03 00:00:00.000000,NIGHT,Smoke Line,1,23.0,4.7,801.6,19.0
2026-02-04 00:00:00.000000,DAY,Smoke Line,1,23.0,4.6,811.7,0.0
2026-02-04 00:00:00.000000,LATE,Line 2,1,11.0,2.3,733.9,0.0
2026-02-04 00:00:00.000000,LATE,VA Line,2,35.0,6.8,559.25,8.0
2026-02-04 00:00:00.000000,NIGHT,Line 1,1,20.0,4.0,691.4,19.0
2026-02-04 00:00:00.000000,NIGHT,Line 2,1,28.0,5.7,696.9,15.0
2026-02-04 00:00:00.000000,NIGHT,Line 3,1,21.0,4.1,591.8,1.0
2026-02-04 00:00:00.000000,NIGHT,VA Line,1,18.0,3.6,405.6,7.0
2026-02-05 00:00:00.000000,DAY,Line 1,1,25.0,4.8,384.3,12.0
2026-02-05 00:00:00.000000,DAY,VA Line,3,51.0,10.1,786.73,47.0
2026-02-05 00:00:00.000000,LATE,Line 1,1,12.0,2.5,377.5,0.0
2026-02-05 00:00:00.000000,LATE,Line 2,2,39.0,7.5,856.8,29.0
2026-02-05 00:00:00.000000,LATE,VA Line,1,28.0,5.7,326.8,16.0
2026-02-05 00:00:00.000000,NIGHT,Line 2,1,19.0,3.8,885.6,10.0
2026-02-05 00:00:00.000000,NIGHT,Line 3,1,29.0,5.7,153.9,17.0
2026-02-06 00:00:00.000000,DAY,Line 3,2,26.0,5.2,444.35,24.0
2026-02-06 00:00:00.000000,LATE,Line 1,1,11.0,2.2,1549.7,3.0
2026-02-06 00:00:00.000000,LATE,Line 2,1,14.0,2.7,1094.8,12.0
2026-02-06 00:00:00.000000,LATE,Line 3,1,21.0,4.2,917.7,8.0
2026-02-06 00:00:00.000000,NIGHT,Line 3,2,46.0,9.3,509.6,21.0
2026-02-06 00:00:00.000000,NIGHT,Smoke Line,1,30.0,6.3,572.0,12.0
2026-02-06 00:00:00.000000,NIGHT,VA Line,1,22.0,4.4,126.1,4.0
2026-02-07 00:00:00.000000,DAY,Line 1,2,35.0,6.8,831.25,37.0
2026-02-07 00:00:00.000000,DAY,Line 2,2,21.0,4.1,1465.0,16.0
2026-02-07 00:00:00.000000,DAY,Smoke Line,1,10.0,2.1,419.2,11.0
2026-02-07 00:00:00.000000,LATE,Line 2,2,36.0,7.1,419.75,6.0
2026-02-07 00:00:00.000000,LATE,Line 3,1,18.0,3.6,200.5,6.0
2026-02-08 00:00:00.000000,DAY,Line 2,1,19.0,3.6,880.9,7.0
2026-02-08 00:00:00.000000,DAY,Smoke Line,1,30.0,6.2,368.6,19.0
2026-02-08 00:00:00.000000,LATE,Line 2,1,11.0,2.3,1099.7,12.0
2026-02-08 00:00:00.000000,LATE,VA Line,1,30.0,5.9,470.9,2.0
2026-02-08 00:00:00.000000,NIGHT,Smoke Line,1,13.0,2.6,771.1,7.0
2026-02-09 00:00:00.000000,DAY,Smoke Line,1,26.0,5.2,612.2,11.0
2026-02-09 00:00:00.000000,DAY,VA Line,2,38.0,7.5,464.8,13.0
2026-02-09 00:00:00.000000,LATE,Line 3,1,20.0,4.1,487.0,9.0
2026-02-09 00:00:00.000000,LATE,VA Line,1,12.0,2.4,1687.1,9.0
2026-02-10 00:00:00.000000,DAY,Line 1,1,29.0,6.0,528.6,10.0
2026-02-10 00:00:00.000000,LATE,Smoke Line,1,28.0,5.5,309.0,15.0
2026-02-10 00:00:00.000000,LATE,VA Line,1,30.0,5.9,333.4,8.0
2026-02-10 00:00:00.000000,NIGHT,VA Line,2,51.0,10.1,126.6,26.0
2026-02-11 00:00:00.000000,LATE,Line 1,1,21.0,4.3,194.8,7.0
2026-02-11 00:00:00.000000,LATE,Line 2,1,16.0,3.0,185.8,12.0
2026-02-11 00:00:00.000000,NIGHT,Line 1,3,59.0,11.8,657.27,20.0
2026-02-12 00:00:00.000000,DAY,Line 2,1,24.0,4.8,780.1,4.0
2026-02-12 00:00:00.000000,DAY,Line 3,1,24.0,4.6,186.5,11.0
2026-02-12 00:00:00.000000,LATE,Line 1,3,65.0,13.3,443.03,43.0
2026-02-12 00:00:00.000000,LATE,Line 2,1,29.0,5.9,638.6,10.0
2026-02-12 00:00:00.000000,LATE,Smoke Line,1,12.0,2.4,360.3,3.0
2026-02-12 00:00:00.000000,LATE,VA Line,1,14.0,2.7,854.0,18.0
2026-02-12 00:00:00.000000,NIGHT,Line 1,2,43.0,8.6,951.25,26.0
2026-02-12 00:00:00.000000,NIGHT,Line 3,1,29.0,5.5,115.4,11.0
2026-02-12 00:00:00.000000,NIGHT,VA Line,1,13.0,2.6,248.3,16.0
2026-02-13 00:00:00.000000,DAY,Line 2,1,23.0,4.8,662.9,10.0
2026-02-13 00:00:00.000000,LATE,Line 1,1,29.0,5.8,350.9,10.0
2026-02-13 00:00:00.000000,LATE,Line 2,2,34.0,6.9,512.35,27.0
2026-02-13 00:00:00.000000,LATE,Line 3,1,27.0,5.2,454.6,6.0
2026-02-13 00:00:00.000000,LATE,VA Line,3,67.0,13.7,584.53,36.0
2026-02-13 00:00:00.000000,NIGHT,Line 1,1,30.0,6.0,119.1,19.0
2026-02-13 00:00:00.000000,NIGHT,Line 3,1,24.0,5.0,639.7,11.0
2026-02-13 00:00:00.000000,NIGHT,Smoke Line,1,24.0,4.6,524.0,7.0
2026-02-14 00:00:00.000000,DAY,Line 1,1,26.0,5.1,503.0,4.0
2026-02-14 00:00:00.000000,LATE,Line 1,1,10.0,1.9,581.6,1.0
2026-02-14 00:00:00.000000,LATE,Line 3,1,15.0,2.9,368.8,1.0
2026-02-14 00:00:00.000000,NIGHT,Line 1,1,10.0,2.1,1341.1,4.0
2026-02-14 00:00:00.000000,NIGHT,Line 2,2,33.0,6.8,494.55,36.0
2026-02-14 00:00:00.000000,NIGHT,Smoke Line,1,20.0,3.9,845.9,7.0
2026-02-15 00:00:00.000000,DAY,Line 1,1,25.0,5.2,396.5,15.0
2026-02-15 00:00:00.000000,DAY,Line 2,2,40.0,7.9,470.8,17.0
2026-02-15 00:00:00.000000,DAY,VA Line,1,20.0,3.9,816.9,5.0
2026-02-15 00:00:00.000000,LATE,VA Line,1,17.0,3.5,230.3,2.0
2026-02-15 00:00:00.000000,NIGHT,Line 1,2,58.0,11.8,212.1,2.0
2026-02-15 00:00:00.000000,NIGHT,Line 2,1,21.0,4.1,901.1,2.0
2026-02-15 00:00:00.000000,NIGHT,VA Line,1,22.0,4.6,285.8,2.0
2026-02-16 00:00:00.000000,DAY,Line 2,3,62.0,12.0,490.1,15.0
2026-02-16 00:00:00.000000,DAY,VA Line,2,41.0,8.4,654.15,26.0
2026-02-16 00:00:00.000000,LATE,Line 2,1,20.0,4.0,159.7,16.0
2026-02-16 00:00:00.000000,LATE,Smoke Line,1,29.0,5.9,394.2,3.0
2026-02-16 00:00:00.000000,NIGHT,Line 3,2,59.0,11.7,273.5,9.0
2026-02-17 00:00:00.000000,DAY,Line 1,1,27.0,5.2,613.4,1.0
2026-02-17 00:00:00.000000,DAY,Line 3,1,13.0,2.7,637.4,10.0
2026-02-17 00:00:00.000000,DAY,Smoke Line,1,27.0,5.5,658.8,8.0
2026-02-17 00:00:00.000000,DAY,VA Line,1,18.0,3.5,925.1,15.0
2026-02-17 00:00:00.000000,NIGHT,VA Line,1,27.0,5.3,559.6,13.0
2026-02-18 00:00:00.000000,DAY,Smoke Line,1,30.0,5.8,368.2,16.0
2026-02-18 00:00:00.000000,LATE,Line 1,1,24.0,4.9,226.4,19.0
2026-02-18 00:00:00.000000,LATE,Line 2,1,29.0,6.0,145.6,7.0
2026-02-18 00:00:00.000000,LATE,Smoke Line,1,30.0,5.9,626.7,6.0
2026-02-18 00:00:00.000000,NIGHT,Line 1,2,28.0,5.4,1450.1,11.0
2026-02-19 00:00:00.000000,DAY,Line 1,1,22.0,4.3,541.9,0.0
2026-02-19 00:00:00.000000,DAY,Line 2,1,26.0,5.4,268.2,5.0
2026-02-19 00:00:00.000000,DAY,Line 3,1,14.0,2.9,695.3,9.0
2026-02-19 00:00:00.000000,DAY,Smoke Line,1,25.0,5.1,127.6,9.0
2026-02-19 00:00:00.000000,LATE,Line 1,2,45.0,9.1,452.15,21.0
2026-02-19 00:00:00.000000,LATE,Line 2,1,23.0,4.5,222.0,8.0
2026-02-19 00:00:00.000000,LATE,Smoke Line,2,42.0,8.6,767.75,18.0
2026-02-19 00:00:00.000000,NIGHT,Line 1,1,24.0,5.0,798.0,2.0
2026-02-19 00:00:00.000000,NIGHT,Smoke Line,1,20.0,4.0,705.2,0.0
2026-02-19 00:00:00.000000,NIGHT,VA Line,1,25.0,5.1,280.4,13.0
2026-02-20 00:00:00.000000,DAY,Line 1,2,38.0,7.7,428.2,15.0
2026-02-20 00:00:00.000000,DAY,Smoke Line,1,23.0,4.7,729.2,13.0
2026-02-20 00:00:00.000000,DAY,VA Line,1,12.0,2.4,1538.2,11.0
2026-02-20 00:00:00.000000,NIGHT,Line 1,1,21.0,4.4,281.0,8.0
2026-02-21 00:00:00.000000,DAY,Line 1,1,26.0,5.2,271.5,1.0
2026-02-21 00:00:00.000000,DAY,Line 2,1,19.0,3.7,854.1,17.0
2026-02-21 00:00:00.000000,LATE,Line 2,1,21.0,4.0,441.4,14.0
2026-02-21 00:00:00.000000,LATE,Line 3,1,21.0,4.3,329.8,4.0
2026-02-21 00:00:00.000000,LATE,Smoke Line,2,38.0,7.7,888.0,20.0
2026-02-21 00:00:00.000000,NIGHT,Line 2,1,15.0,3.1,618.3,9.0
2026-02-21 00:00:00.000000,NIGHT,Smoke Line,1,14.0,2.7,1453.7,18.0
2026-02-21 00:00:00.000000,NIGHT,VA Line,1,12.0,2.5,587.1,17.0
2026-02-22 00:00:00.000000,DAY,Line 1,2,39.0,7.7,417.1,8.0
2026-02-22 00:00:00.000000,DAY,Line 3,1,16.0,3.1,681.6,18.0
2026-02-22 00:00:00.000000,DAY,VA Line,1,22.0,4.5,490.0,16.0
2026-02-22 00:00:00.000000,LATE,Line 1,1,27.0,5.6,601.3,5.0
2026-02-22 00:00:00.000000,LATE,Line 2,1,23.0,4.4,196.1,17.0
2026-02-22 00:00:00.000000,NIGHT,Line 1,1,29.0,6.0,544.0,11.0
2026-02-22 00:00:00.000000,NIGHT,Line 3,2,24.0,4.7,930.15,18.0
2026-02-22 00:00:00.000000,NIGHT,VA Line,1,11.0,2.1,1256.4,1.0
2026-02-23 00:00:00.000000,DAY,VA Line,2,46.0,9.1,713.8,25.0
2026-02-23 00:00:00.000000,LATE,Line 1,2,39.0,7.5,913.6,5.0
2026-02-23 00:00:00.000000,LATE,Line 2,1,24.0,4.9,205.2,8.0
2026-02-23 00:00:00.000000,LATE,Line 3,1,10.0,2.0,1540.7,2.0
2026-02-23 00:00:00.000000,NIGHT,Line 2,1,14.0,2.7,1294.9,4.0
2026-02-24 00:00:00.000000,DAY,Line 3,1,20.0,4.2,251.6,1.0
2026-02-24 00:00:00.000000,DAY,Smoke Line,2,40.0,8.2,420.45,18.0
2026-02-24 00:00:00.000000,LATE,Line 2,1,28.0,5.5,141.3,4.0
2026-02-24 00:00:00.000000,LATE,Smoke Line,2,45.0,8.8,657.85,28.0
2026-02-24 00:00:00.000000,NIGHT,Line 2,1,25.0,4.9,600.5,11.0
2026-02-24 00:00:00.000000,NIGHT,VA Line,1,16.0,3.2,279.0,16.0
2026-02-25 00:00:00.000000,DAY,Line 1,1,16.0,3.2,464.5,6.0
2026-02-25 00:00:00.000000,DAY,Line 3,3,77.0,15.5,432.13,38.0
2026-02-25 00:00:00.000000,DAY,Smoke Line,1,25.0,4.8,175.7,1.0
2026-02-25 00:00:00.000000,LATE,Line 1,1,12.0,2.3,1662.5,2.0
2026-02-25 00:00:00.000000,NIGHT,Line 1,2,47.0,9.3,422.4,9.0
2026-02-26 00:00:00.000000,DAY,Line 1,1,17.0,3.5,346.4,12.0
2026-02-26 00:00:00.000000,LATE,Line 2,1,27.0,5.7,654.1,6.0
2026-02-26 00:00:00.000000,LATE,Line 3,1,21.0,4.2,505.6,4.0
2026-02-26 00:00:00.000000,LATE,Smoke Line,1,18.0,3.6,439.1,5.0
2026-02-26 00:00:00.000000,NIGHT,VA Line,1,27.0,5.5,560.8,5.0
2026-02-27 00:00:00.000000,DAY,Smoke Line,3,68.0,13.5,215.67,21.0
2026-02-27 00:00:00.000000,DAY,VA Line,1,19.0,3.7,845.9,10.0
2026-02-27 00:00:00.000000,LATE,Smoke Line,1,15.0,3.1,1040.9,20.0
2026-02-27 00:00:00.000000,NIGHT,Line 1,3,70.0,13.9,759.37,49.0
2026-02-27 00:00:00.000000,NIGHT,Line 2,1,22.0,4.6,447.0,6.0
2026-02-27 00:00:00.000000,NIGHT,VA Line,1,13.0,2.5,1186.8,17.0
2026-02-28 00:00:00.000000,DAY,Line 3,2,42.0,8.3,629.9,11.0
2026-02-28 00:00:00.000000,DAY,VA Line,3,63.0,12.6,442.93,29.0
2026-02-28 00:00:00.000000,LATE,Line 3,1,20.0,4.1,438.2,4.0
2026-02-28 00:00:00.000000,LATE,VA Line,1,17.0,3.3,1168.9,17.0
2026-03-01 00:00:00.000000,DAY,Line 2,2,52.0,10.2,465.9,23.0
2026-03-01 00:00:00.000000,DAY,Line 3,1,29.0,6.1,487.7,5.0
2026-03-01 00:00:00.000000,DAY,VA Line,1,19.0,3.9,581.0,19.0
2026-03-01 00:00:00.000000,LATE,Line 1,1,10.0,1.9,1829.3,2.0
2026-03-01 00:00:00.000000,LATE,VA Line,3,85.0,17.3,491.67,24.0
2026-03-01 00:00:00.000000,NIGHT,Line 2,1,22.0,4.2,349.6,11.0
2026-03-01 00:00:00.000000,NIGHT,Line 3,1,27.0,5.5,133.6,9.0
2026-03-02 00:00:00.000000,DAY,Smoke Line,1,28.0,5.4,696.7,20.0
2026-03-02 00:00:00.000000,DAY,VA Line,2,22.0,4.4,333.2,20.0
2026-03-02 00:00:00.000000,LATE,Line 1,2,48.0,9.8,561.7,29.0
2026-03-02 00:00:00.000000,LATE,Smoke Line,1,17.0,3.4,659.5,6.0
2026-03-02 00:00:00.000000,NIGHT,Line 2,1,27.0,5.3,707.5,1.0
2026-03-02 00:00:00.000000,NIGHT,Line 3,1,13.0,2.7,468.2,13.0
2026-03-02 00:00:00.000000,NIGHT,Smoke Line,1,18.0,3.6,553.9,20.0
2026-03-02 00:00:00.000000,NIGHT,VA Line,1,18.0,3.6,589.4,8.0
2026-03-03 00:00:00.000000,DAY,Line 2,1,26.0,5.2,688.3,3.0
2026-03-03 00:00:00.000000,DAY,Line 3,1,15.0,2.9,935.6,4.0
